,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM),Minimized Energy (Cell Minimization),Original Box Vectors,Minimized Box Vectors
0,2201001,[0.0767314],4497.50754584254 kJ/mol,1845.1756859536508 kJ/mol,1826.048103449475 kJ/mol,"[[ 2.1051      0.          0.        ]
 [ 0.          3.0687      0.        ]
 [-0.11665752  0.          2.60919341]]","[[ 2.10825359e+00  0.00000000e+00  0.00000000e+00]
 [ 4.00216506e-03  3.06157588e+00  0.00000000e+00]
 [-1.54042386e-01  2.98967789e-03  2.57958853e+00]]"
1,2105585,[0.0235596],21391.832893928877 kJ/mol,17668.77438429442 kJ/mol,17656.303842265545 kJ/mol,"[[2.6564 0.     0.    ]
 [0.     2.1327 0.    ]
 [0.     0.     3.4782]]","[[2.64938769e+00 0.00000000e+00 0.00000000e+00]
 [6.85565381e-04 2.13184658e+00 0.00000000e+00]
 [2.82840621e-04 3.78063038e-04 3.48680849e+00]]"
2,2015769,[0.6443957],24081.70034128194 kJ/mol,22478.063406305748 kJ/mol,22426.15283398277 kJ/mol,"[[ 2.355       0.          0.        ]
 [ 0.          2.0696      0.        ]
 [-0.28621406  0.          3.2648786 ]]","[[ 2.36314009  0.          0.        ]
 [ 0.0073342   2.08663603  0.        ]
 [-0.29124927 -0.01063054  3.27110246]]"
3,2212364,[0.7295499],-55527.42403853064 kJ/mol,-64450.20422958806 kJ/mol,-64541.23248849063 kJ/mol,"[[ 2.3688      0.          0.        ]
 [ 0.          5.2149      0.        ]
 [-0.50467949  0.          2.28400688]]","[[ 2.37886723e+00  0.00000000e+00  0.00000000e+00]
 [-1.40222488e-03  5.22439813e+00  0.00000000e+00]
 [-5.06469112e-01 -2.02417448e-03  2.29844516e+00]]"
4,2012267,[0.9677616],-22206.351138500795 kJ/mol,-23703.06057022442 kJ/mol,-23703.060570224407 kJ/mol,"[[ 2.5536      0.          0.        ]
 [ 0.          2.6276      0.        ]
 [-1.01867421  0.          2.89914078]]","[[ 2.55360000e+00  0.00000000e+00  0.00000000e+00]
 [-1.24745590e-17  2.62760000e+00  0.00000000e+00]
 [-1.01867421e+00 -2.19815643e-15  2.89914078e+00]]"
5,7151616,[0.01493711],25160.906327347737 kJ/mol,21146.07792430008 kJ/mol,21075.015574075303 kJ/mol,"[[2.2422 0.     0.    ]
 [0.     2.4816 0.    ]
 [0.     0.     5.7706]]","[[ 2.25076088e+00  0.00000000e+00  0.00000000e+00]
 [-1.55831900e-04  2.49938937e+00  0.00000000e+00]
 [ 1.47712022e-04 -4.39038126e-04  5.78031530e+00]]"
6,2238479,[0.7275906],-38217.0048564542 kJ/mol,-41490.844519262704 kJ/mol,-42522.952015404866 kJ/mol,"[[ 2.438       0.          0.        ]
 [ 0.          3.6306      0.        ]
 [-0.46653636  0.          2.90943214]]","[[ 2.47465271e+00  0.00000000e+00  0.00000000e+00]
 [ 2.22117237e-02  3.57725086e+00  0.00000000e+00]
 [-4.93701182e-01 -2.11945649e-03  2.92598687e+00]]"
7,2203241,[1.0122641],-14834.739512956712 kJ/mol,-18247.837477655467 kJ/mol,-18266.38896783125 kJ/mol,"[[2.385      0.         0.        ]
 [0.05358756 2.22445463 0.        ]
 [0.09799242 0.90486855 3.73675346]]","[[2.37942342 0.         0.        ]
 [0.05127409 2.22555341 0.        ]
 [0.09479403 0.90374102 3.74215185]]"
8,1516412,[0.6564944],-6174.1227522523 kJ/mol,-9490.830298857778 kJ/mol,-13453.251481053918 kJ/mol,"[[ 2.1876      0.          0.        ]
 [ 0.          2.1058      0.        ]
 [-0.31688941  0.          2.3376189 ]]","[[ 2.29725668  0.          0.        ]
 [ 0.03075981  2.13740925  0.        ]
 [-0.36603915  0.02489761  2.41363158]]"
9,2219974,[0.02437963],50611.597941556785 kJ/mol,40316.007862885366 kJ/mol,40228.57467115812 kJ/mol,"[[2.5288 0.     0.    ]
 [0.     4.9584 0.    ]
 [0.     0.     2.3124]]","[[ 2.55868502e+00  0.00000000e+00  0.00000000e+00]
 [-3.25549117e-03  4.94333327e+00  0.00000000e+00]
 [-1.21326586e-02 -2.32979894e-02  2.32524940e+00]]"
