,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM),Minimized Energy (Cell Minimization),Original Box Vectors,Minimized Box Vectors
0,7118053,[1.2823572],13680.872697527582 kJ/mol,11240.914385616652 kJ/mol,11240.914385616637 kJ/mol,"[[ 2.0196      0.          0.        ]
 [-0.7144151   2.7193208   0.        ]
 [-0.56763325 -0.49030303  3.3600993 ]]","[[ 2.0196      0.          0.        ]
 [-0.7144151   2.7193208   0.        ]
 [-0.56763325 -0.49030303  3.3600993 ]]"
1,2231307,[0.7582202],-40924.323004303486 kJ/mol,-48629.144589177755 kJ/mol,-48902.10155423434 kJ/mol,"[[ 4.7814      0.          0.        ]
 [ 0.          2.403       0.        ]
 [-0.35940018  0.          2.52212158]]","[[ 4.73220989  0.          0.        ]
 [ 0.00537037  2.40512901  0.        ]
 [-0.4271268   0.01926616  2.68743413]]"
2,1511801,[0.01407871],9202.451968673295 kJ/mol,11620.25507710926 kJ/mol,10818.904201219797 kJ/mol,"[[ 2.2926      0.          0.        ]
 [ 0.          3.5736      0.        ]
 [-0.04949919  0.          2.55472051]]","[[ 2.36081390e+00  0.00000000e+00  0.00000000e+00]
 [-3.20400399e-03  3.61017142e+00  0.00000000e+00]
 [-5.73382439e-02 -2.37150387e-04  2.60164030e+00]]"
3,2105612,[0.02125327],-37833.13187522192 kJ/mol,-42637.97317803418 kJ/mol,-42922.86083487276 kJ/mol,"[[3.7752 0.     0.    ]
 [0.     2.9097 0.    ]
 [0.     0.     2.2044]]","[[ 3.79459867e+00  0.00000000e+00  0.00000000e+00]
 [ 7.25896838e-05  2.92327410e+00  0.00000000e+00]
 [-1.15348475e-03 -3.32224176e-04  2.21473015e+00]]"
4,7219429,[0.4577762],-226.13950265137464 kJ/mol,-24820.017251718204 kJ/mol,-26688.350060309866 kJ/mol,"[[ 2.1036      0.          0.        ]
 [ 0.          3.93        0.        ]
 [-0.17856219  0.          2.36376517]]","[[ 2.14244417e+00  0.00000000e+00  0.00000000e+00]
 [-4.01347070e-04  3.95564810e+00  0.00000000e+00]
 [-1.80322616e-01 -1.76966002e-03  2.42257382e+00]]"
5,2237654,[0.6550276],56619.296870416416 kJ/mol,47617.181738349085 kJ/mol,47141.276616151 kJ/mol,"[[ 2.8851      0.          0.        ]
 [ 0.          2.5908      0.        ]
 [-0.37770386  0.          3.49957652]]","[[ 2.90652747  0.          0.        ]
 [-0.01031823  2.61655412  0.        ]
 [-0.39388016 -0.01191736  3.5212268 ]]"
6,7200790,[0.02068815],-14721.693534751012 kJ/mol,-20195.719368356644 kJ/mol,-20993.998867814586 kJ/mol,"[[4.5264 0.     0.    ]
 [0.     2.2293 0.    ]
 [0.     0.     2.31  ]]","[[ 4.48903663  0.          0.        ]
 [-0.02046999  2.19338331  0.        ]
 [-0.01107728 -0.00904648  2.28074531]]"
7,1519191,[1.0133438],-91430.99679708682 kJ/mol,-95647.19498790563 kJ/mol,-95669.6797683753 kJ/mol,"[[ 2.6607      0.          0.        ]
 [ 0.          2.6745      0.        ]
 [-1.04174242  0.          2.80116095]]","[[ 2.65344975e+00  0.00000000e+00  0.00000000e+00]
 [-2.51079478e-03  2.67426336e+00  0.00000000e+00]
 [-1.04006957e+00 -1.01571419e-04  2.79951231e+00]]"
8,7219800,[0.66379195],5421.300915994557 kJ/mol,3998.2884057860483 kJ/mol,3917.044759187771 kJ/mol,"[[ 2.9268      0.          0.        ]
 [ 0.          2.337       0.        ]
 [-0.53586153  0.          3.33431505]]","[[ 2.94106444e+00  0.00000000e+00  0.00000000e+00]
 [ 1.77532761e-03  2.35319551e+00  0.00000000e+00]
 [-5.35812484e-01  6.55282340e-04  3.33709135e+00]]"
9,2212364,[0.726123],-87499.07219423624 kJ/mol,-94475.223541695 kJ/mol,-94488.49158132655 kJ/mol,"[[ 2.3688      0.          0.        ]
 [ 0.          5.2149      0.        ]
 [-0.50467949  0.          2.28400688]]","[[ 2.36814507e+00  0.00000000e+00  0.00000000e+00]
 [-5.62195134e-04  5.22468244e+00  0.00000000e+00]
 [-5.04300631e-01  2.31106563e-03  2.29300604e+00]]"
10,4515127,[0.66718864],10190.090689021867 kJ/mol,6761.653170568897 kJ/mol,5887.908942345047 kJ/mol,"[[ 2.2464      0.          0.        ]
 [-0.09042594  2.6156374   0.        ]
 [-0.51473819 -0.18574326  2.84617057]]","[[ 2.19241966  0.          0.        ]
 [-0.16107935  2.6065359   0.        ]
 [-0.51901651 -0.15262663  2.80901304]]"
11,7045653,[0.6268563],45461.01332428799 kJ/mol,42589.249053421336 kJ/mol,42589.146278555534 kJ/mol,"[[ 2.3196      0.          0.        ]
 [ 0.          4.8573      0.        ]
 [-0.50647996  0.          2.68046945]]","[[ 2.31959309e+00  0.00000000e+00  0.00000000e+00]
 [-8.69913923e-07  4.85729915e+00  0.00000000e+00]
 [-5.06490960e-01  3.41843405e-06  2.68044976e+00]]"
12,7151616,[0.00984775],-21541.93986870774 kJ/mol,-24382.382931682172 kJ/mol,-24382.382931682187 kJ/mol,"[[2.2422 0.     0.    ]
 [0.     2.4816 0.    ]
 [0.     0.     5.7706]]","[[ 2.24220000e+00  0.00000000e+00  0.00000000e+00]
 [-5.73269664e-16  2.48160000e+00  0.00000000e+00]
 [-3.96754105e-16 -3.06410548e-16  5.77060000e+00]]"
13,4107711,[1.250485],24574.768600611715 kJ/mol,22210.063468786037 kJ/mol,22192.599738312772 kJ/mol,"[[ 2.5218      0.          0.        ]
 [-0.01126949  2.6903764   0.        ]
 [-0.58453896 -0.4725297   2.83918983]]","[[ 2.50701661  0.          0.        ]
 [-0.00678499  2.69472835  0.        ]
 [-0.57966693 -0.46311483  2.84533254]]"
14,7052010,[0.72363114],-113324.4233653706 kJ/mol,-117354.46584713052 kJ/mol,-117451.21976543998 kJ/mol,"[[ 2.703       0.          0.        ]
 [ 0.          2.6416      0.        ]
 [-0.38903608  0.          2.72668653]]","[[ 2.71433845e+00  0.00000000e+00  0.00000000e+00]
 [ 5.38307061e-04  2.64872232e+00  0.00000000e+00]
 [-3.86186468e-01  3.46960035e-04  2.73248556e+00]]"
15,4037663,[0.91562843],-3845.0604539492156 kJ/mol,-6089.056033711222 kJ/mol,-6160.076115840527 kJ/mol,"[[ 2.1042      0.          0.        ]
 [-1.0521      1.82229065  0.        ]
 [ 0.          0.          2.1932    ]]","[[ 2.10542460e+00  0.00000000e+00  0.00000000e+00]
 [-1.05160152e+00  1.82380834e+00  0.00000000e+00]
 [-1.72622777e-03  2.35467087e-04  2.20831363e+00]]"
16,1519825,[0.59528106],-8067.73865920406 kJ/mol,-13096.305515421696 kJ/mol,-13096.30551542171 kJ/mol,"[[ 2.4956      0.          0.        ]
 [ 0.          4.1469      0.        ]
 [-0.30720271  0.          2.54230666]]","[[ 2.4956      0.          0.        ]
 [ 0.          4.1469      0.        ]
 [-0.30720271  0.          2.54230666]]"
17,2203241,[1.0119535],-30655.09153763638 kJ/mol,-33843.240353217305 kJ/mol,-33859.41354459018 kJ/mol,"[[2.385      0.         0.        ]
 [0.05358756 2.22445463 0.        ]
 [0.09799242 0.90486855 3.73675346]]","[[2.37903104 0.         0.        ]
 [0.05199293 2.22466585 0.        ]
 [0.09520962 0.90348416 3.74150867]]"
18,1516412,[0.6442994],-21438.710341967744 kJ/mol,-24388.34750456444 kJ/mol,-24783.963842643436 kJ/mol,"[[ 2.1876      0.          0.        ]
 [ 0.          2.1058      0.        ]
 [-0.31688941  0.          2.3376189 ]]","[[ 2.2376169   0.          0.        ]
 [-0.00313574  2.13151339  0.        ]
 [-0.34429999  0.00394048  2.35833948]]"
19,4035731,[0.03636521],61087.29623071027 kJ/mol,55749.15408941846 kJ/mol,55677.98588194189 kJ/mol,"[[ 2.4308      0.          0.        ]
 [ 0.          2.14        0.        ]
 [-0.14104565  0.          5.49629054]]","[[ 2.44505081e+00  0.00000000e+00  0.00000000e+00]
 [ 1.59586342e-03  2.15204577e+00  0.00000000e+00]
 [-1.47190735e-01 -7.78499250e-03  5.50117699e+00]]"
20,2105702,[0.03395002],3761.361995677088 kJ/mol,-1520.3990226960168 kJ/mol,-1520.399022696026 kJ/mol,"[[2.091  0.     0.    ]
 [0.     2.8542 0.    ]
 [0.     0.     2.9256]]","[[ 2.09100000e+00  0.00000000e+00  0.00000000e+00]
 [-8.50853812e-17  2.85420000e+00  0.00000000e+00]
 [ 1.58256270e-17 -1.85729489e-15  2.92560000e+00]]"
21,2219974,[0.01904148],6965.448301082337 kJ/mol,-155.9741283038802 kJ/mol,-234.82555384415173 kJ/mol,"[[2.5288 0.     0.    ]
 [0.     4.9584 0.    ]
 [0.     0.     2.3124]]","[[ 2.54314473e+00  0.00000000e+00  0.00000000e+00]
 [-8.96483455e-04  4.93097208e+00  0.00000000e+00]
 [ 1.19371610e-03 -7.65229563e-04  2.31666825e+00]]"
22,7216950,[0.92573774],26130.98424574618 kJ/mol,23780.88585594498 kJ/mol,23780.88585594498 kJ/mol,"[[ 2.6516      0.          0.        ]
 [ 0.          3.8988      0.        ]
 [-0.74852791  0.          2.08139559]]","[[ 2.6516      0.          0.        ]
 [ 0.          3.8988      0.        ]
 [-0.74852791  0.          2.08139559]]"
23,2300006,[0.759957],16107.633429222195 kJ/mol,9010.388872002033 kJ/mol,8981.55975047974 kJ/mol,"[[ 2.7966      0.          0.        ]
 [ 0.          2.1916      0.        ]
 [-0.52752175  0.          2.66906899]]","[[ 2.79072326e+00  0.00000000e+00  0.00000000e+00]
 [-2.35437356e-03  2.19843929e+00  0.00000000e+00]
 [-5.32835486e-01  1.96539255e-03  2.67548799e+00]]"
24,2212135,[0.7493215],44085.48232542979 kJ/mol,37056.41707034907 kJ/mol,36682.523710985384 kJ/mol,"[[ 2.499       0.          0.        ]
 [ 0.          2.8185      0.        ]
 [-0.48342052  0.          3.95425976]]","[[ 2.54200906e+00  0.00000000e+00  0.00000000e+00]
 [ 1.88192012e-03  2.83926618e+00  0.00000000e+00]
 [-4.85307846e-01  8.16129451e-04  3.97349695e+00]]"
25,7228868,[0.55485255],6211.338754983437 kJ/mol,4080.135855072833 kJ/mol,4048.2551166466474 kJ/mol,"[[ 2.0728      0.          0.        ]
 [ 0.          2.6176      0.        ]
 [-0.24899585  0.          5.81947559]]","[[ 2.07415613e+00  0.00000000e+00  0.00000000e+00]
 [-3.08783362e-03  2.60446865e+00  0.00000000e+00]
 [-2.42223398e-01 -1.54304549e-02  5.81462608e+00]]"
26,7216997,[0.79865724],52570.42872044413 kJ/mol,44757.030851342715 kJ/mol,44639.1313569098 kJ/mol,"[[ 2.3085      0.          0.        ]
 [ 0.          2.9967      0.        ]
 [-0.65180787  0.          4.41403422]]","[[ 2.32047702e+00  0.00000000e+00  0.00000000e+00]
 [-5.80213994e-04  3.00997430e+00  0.00000000e+00]
 [-6.46261570e-01  1.81132595e-04  4.42460240e+00]]"
27,2217222,[1.0736486],-10324.683330463504 kJ/mol,-14087.49768125394 kJ/mol,-14123.739743115584 kJ/mol,"[[ 2.3772      0.          0.        ]
 [ 0.          2.1918      0.        ]
 [-0.68837017  0.          2.86506511]]","[[ 2.36868323e+00  0.00000000e+00  0.00000000e+00]
 [-3.84341627e-04  2.18759886e+00  0.00000000e+00]
 [-6.87882677e-01  2.05967134e-04  2.85747452e+00]]"
