#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,-2,-2,-2
1,1,-2,-2,-2
2,0,-2,-2,-1
3,1,-2,-2,-1
4,0,-2,-2,0
5,1,-2,-2,0
6,0,-2,-2,1
7,1,-2,-2,1
8,0,-2,-2,2
9,1,-2,-2,2
10,0,-2,-1,-2
11,1,-2,-1,-2
12,0,-2,-1,-1
13,1,-2,-1,-1
14,0,-2,-1,0
15,1,-2,-1,0
16,0,-2,-1,1
17,1,-2,-1,1
18,0,-2,-1,2
19,1,-2,-1,2
20,0,-2,0,-2
21,1,-2,0,-2
22,0,-2,0,-1
23,1,-2,0,-1
24,0,-2,0,0
25,1,-2,0,0
26,0,-2,0,1
27,1,-2,0,1
28,0,-2,0,2
29,1,-2,0,2
30,0,-2,1,-2
31,1,-2,1,-2
32,0,-2,1,-1
33,1,-2,1,-1
34,0,-2,1,0
35,1,-2,1,0
36,0,-2,1,1
37,1,-2,1,1
38,0,-2,1,2
39,1,-2,1,2
40,0,-2,2,-2
41,1,-2,2,-2
42,0,-2,2,-1
43,1,-2,2,-1
44,0,-2,2,0
45,1,-2,2,0
46,0,-2,2,1
47,1,-2,2,1
48,0,-2,2,2
49,1,-2,2,2
50,0,-1,-2,-2
51,1,-1,-2,-2
52,0,-1,-2,-1
53,1,-1,-2,-1
54,0,-1,-2,0
55,1,-1,-2,0
56,0,-1,-2,1
57,1,-1,-2,1
58,0,-1,-2,2
59,1,-1,-2,2
60,0,-1,-1,-2
61,1,-1,-1,-2
62,0,-1,-1,-1
63,1,-1,-1,-1
64,0,-1,-1,0
65,1,-1,-1,0
66,0,-1,-1,1
67,1,-1,-1,1
68,0,-1,-1,2
69,1,-1,-1,2
70,0,-1,0,-2
71,1,-1,0,-2
72,0,-1,0,-1
73,1,-1,0,-1
74,0,-1,0,0
75,1,-1,0,0
76,0,-1,0,1
77,1,-1,0,1
78,0,-1,0,2
79,1,-1,0,2
80,0,-1,1,-2
81,1,-1,1,-2
82,0,-1,1,-1
83,1,-1,1,-1
84,0,-1,1,0
85,1,-1,1,0
86,0,-1,1,1
87,1,-1,1,1
88,0,-1,1,2
89,1,-1,1,2
90,0,-1,2,-2
91,1,-1,2,-2
